id,email,role,karma_score,ward_id,created_at
6b58a952-865d-4d78-8593-d2baf5237f9b,Einar96@yahoo.com,admin,384,6,2025-10-19T11:44:40.663Z
27d4d2cc-559c-4f17-88b4-c147cbf99d20,Sonya.Johnson@gmail.com,citizen,474,9,2026-06-26T02:56:46.519Z
b15c7e39-4b9f-441b-8ed5-88e15a6fdded,Dennis_Bauch26@yahoo.com,citizen,234,6,2026-05-11T01:49:37.090Z
9f66f94b-d47c-4c03-a1b5-57c92d3eb412,Titus34@hotmail.com,citizen,450,3,2026-02-02T23:28:23.328Z
3a46ff5d-cb90-40c8-8320-2bab39559f51,Clifton.OReilly@yahoo.com,citizen,388,4,2026-02-22T18:45:27.526Z
494af61b-6ab6-4479-9871-f9eb6f5d1d57,Herbert.Hessel59@hotmail.com,citizen,467,6,2026-03-25T23:41:51.222Z
0db6097f-eab8-4695-be37-826692c16171,Loren_Gorczany@gmail.com,citizen,400,5,2026-05-30T04:05:48.873Z
bd6a0bda-0c72-453f-a0c1-af4c5f2f3922,Mamie.Langosh96@yahoo.com,citizen,50,10,2026-01-07T06:03:33.500Z
c36ade26-e21e-4766-8577-0dc0f4f39709,Joan37@hotmail.com,citizen,381,7,2026-04-02T21:07:04.367Z
93c0be33-6484-4244-b5e8-c93f5b030ecd,Heath90@gmail.com,citizen,331,10,2026-03-15T12:46:54.833Z
f5e35dc0-6fe4-40f1-b358-884969c30d23,Pattie_Erdman42@yahoo.com,citizen,199,10,2026-03-07T13:50:40.327Z
3df6aa26-7460-4317-a15d-8e7b974118f1,Maymie13@yahoo.com,citizen,452,3,2026-05-03T18:09:25.062Z
953afb2a-3a12-47fd-ae8a-fbe2278555f9,Annie55@hotmail.com,citizen,484,3,2025-10-28T20:51:07.355Z
0c47824d-2679-462b-a32f-05a8794d4bf6,Elvira_Schumm@yahoo.com,citizen,196,4,2026-01-31T14:26:57.760Z
784b44c2-8d25-41a3-90ef-54fe7f400efa,Alton.Collins@gmail.com,citizen,498,6,2025-11-29T03:58:42.498Z
82b3b179-9aa2-40b8-b1c2-e9dd9aadd1ef,Kenny_Koelpin83@yahoo.com,citizen,307,3,2025-08-12T23:23:59.571Z
47ec50bd-f0ca-4374-8d69-8397d66660e3,Lois6@hotmail.com,citizen,170,4,2026-02-16T07:48:18.999Z
701cdfa6-ebe1-40ab-9b58-159eccc81c94,Chauncey_VonRueden97@hotmail.com,citizen,143,9,2026-05-23T08:15:08.120Z
2f3c039a-8829-4460-89b6-3e244c31b4ab,Phyllis_Hudson13@yahoo.com,citizen,142,10,2025-06-28T00:55:41.519Z
9fadcf73-0f1f-40aa-bef6-711b0ac38143,Kristi_Champlin@hotmail.com,citizen,281,9,2026-01-20T22:44:05.920Z
